,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
73,Energy-optimal guidance of a battery-electrically driven airplane,CEAS Aeronautical Journal,,11.0,1,10.1007/s13272-019-00398-x,F. SetteleM. Bittner,2020,http://link.springer.com/article/10.1007/s13272-019-00398-x,Article
74,Machine learning of electro-hydraulic motor dynamics,SN Applied Sciences,,2.0,1,10.1007/s42452-019-1889-y,Luca BarontiBiao ZhangMarco CastellaniDuc Truong Pham,2019,http://link.springer.com/article/10.1007/s42452-019-1889-y,Article
75,Biomimetic Superlyophobic Metallic Surfaces: Focusing on Their Fabrication and Applications,Journal of Bionic Engineering,,17.0,1,10.1007/s42235-020-0002-y,Zhongxu LianJinkai XuZuobin WangHuadong Yu,2020,http://link.springer.com/article/10.1007/s42235-020-0002-y,Article
76,Planning for PV plant performance monitoring by means of unmanned aerial systems (UAS),International Journal of Energy and Environmental Engineering,,6.0,1,10.1007/s40095-014-0149-6,F. GrimacciaM. AghaeiM. MussettaS. LevaP. Bellezza Quater,2015,http://link.springer.com/article/10.1007/s40095-014-0149-6,Article
77,Progress in Bio-inspired Anti-solid Particle Erosion Materials: Learning from Nature but Going beyond Nature,Chinese Journal of Mechanical Engineering,,33.0,1,10.1186/s10033-020-00458-y,Shuaijun ZhangJunqiu ZhangBin ZhuShichao NiuZhiwu HanLuquan Ren,2020,http://link.springer.com/article/10.1186/s10033-020-00458-y,Article
78,International Surgical Week ISW 2011,World Journal of Surgery,,35.0,1,10.1007/s00268-011-1190-8,,2011,http://link.springer.com/article/10.1007/s00268-011-1190-8,Article
79,Abstracts,Algae Abstracts,,,,10.1007/978-1-4757-0420-4_1,,1973,http://link.springer.com/chapter/10.1007/978-1-4757-0420-4_1,Chapter
80,Manipulation of the Biological Environment for Insect Pest Suppression,Biological Insect Pest Suppression,,,,10.1007/978-3-642-66487-8_4,Dr. Harry C. CoppelDr. James W. Mertins,1977,http://link.springer.com/chapter/10.1007/978-3-642-66487-8_4,Chapter
81,"Basic research on machinery fault diagnostics: Past, present, and future trends",Frontiers of Mechanical Engineering,,13.0,2,10.1007/s11465-018-0472-3,Xuefeng ChenShibin WangBaijie QiaoQiang Chen,2018,http://link.springer.com/article/10.1007/s11465-018-0472-3,Article
82,Abstract withdrawn,Critical Care,,10.0,1,10.1186/cc4375,,2006,http://link.springer.com/article/10.1186/cc4375,Article
83,Abstract withdrawn,Critical Care,,10.0,1,10.1186/cc4360,,2006,http://link.springer.com/article/10.1186/cc4360,Article
84,Abstract withdrawn,Critical Care,,10.0,1,10.1186/cc4763,,2006,http://link.springer.com/article/10.1186/cc4763,Article
85,Nonlinear Model Predictive Control with Enhanced Actuator Model for Multi-Rotor Aerial Vehicles with Generic Designs,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-020-01250-9,Davide BicegoJacopo MazzettoRuggero CarliMarcello FarinaAntonio Franchi,2020,http://link.springer.com/article/10.1007/s10846-020-01250-9,Article
86,Highways and Byways in the History of High Rate Mechanical Testing,Journal of Dynamic Behavior of Materials,,6.0,2,10.1007/s40870-020-00237-9,Stephen M. Walley,2020,http://link.springer.com/article/10.1007/s40870-020-00237-9,Article
